번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
588,038390,레드캡투어,147502,여행사 및 기타 여행보조 서비스업,"8,589,480","4,294,740,000","500",원(KRW),02-2001-4563,서울특별시 중구 을지로 100파인에비뉴 B동 19층 ,2276
589,228850,레이언스,032701,의료용 기기 제조업,"16,591,014","8,295,507,000","500",원(KRW),031-8015-6277,경기도 화성시 삼성1로1길 14 &nbsp,2276
590,238120,로고스바이오,032703,사진장비 및 광학기기 제조업,"3,594,724","1,797,362,000","500",원(KRW),031-478-4185,"경기도 안양시 동안구 시민대로327번길 28 (관양동) 2층,3층 ",2276
591,215100,로보로보,032809,기타 전기장비 제조업,"17,798,454","1,779,845,400","100",원(KRW),02-909-5050,서울특별시 강북구 도봉로54길 6 로보로보빌딩(미아동),2276
592,090360,로보스타,032902,특수 목적용 기계 제조업,"9,750,000","4,875,000,000","500",원(KRW),031-400-3600,경기도 안산시 상록구  수인로 700 ,2276
593,238500,로보쓰리,137309,"그외 기타 전문, 과학 및 기술 서비스업","4,682,166","2,341,083,000","500",원(KRW),02-544-9145,서울특별시 강남구 봉은사로18길 85BM빌딩 2층 ,2276
594,108490,로보티즈,032902,특수 목적용 기계 제조업,"11,251,000","5,625,500,000","500",원(KRW),070-8671-2600,서울특별시 강서구 마곡중앙5로1길 37 &nbsp,2276
595,900260,로스웰,116409,기타 금융업,"90,781,250","675,265,221","0",중국위안(CNY),,"Unit 402, 4th Floor, Fairmont House, No. 8 Cotton Tree Drive, Admiralty Hong Kong ",2276
596,067730,로지시스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","9,340,922","4,670,461,000","500",원(KRW),02-2125-6300,서울특별시 마포구 독막로 281 &nbsp,2276
597,071280,로체시스템즈,032902,특수 목적용 기계 제조업,"15,296,603","7,648,301,500","500",원(KRW),(031)335-9100,경기도 용인시 처인구  경안천로 364 로체시스템즈(주),2276
598,032350,롯데관광개발,147502,여행사 및 기타 여행보조 서비스업,"69,010,340","34,505,170,000","500",원(KRW),1577-3000,서울특별시 종로구  세종대로 149 (세종로),2276
599,000400,롯데손해보험,116501,보험업,"134,280,000","134,280,000,000","1,000",원(KRW),02-1588-3344,서울특별시 중구  소월로 3 롯데손해보험빌딩 ,2276
600,023530,롯데쇼핑,074701,종합 소매업,"28,288,755","141,443,775,000","5,000",원(KRW),02-771-2500,서울특별시 중구  남대문로 81 (소공동) ,2276
601,004000,롯데정밀화학,032001,기초 화학물질 제조업,"25,800,000","129,000,000,000","5,000",원(KRW),052-270-6112-4,울산광역시 남구 여천로217번길 19 ,2276
602,286940,롯데정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","14,286,000","71,430,000,000","5,000",원(KRW),02-2626-4000,서울특별시 금천구 가산디지털2로 179 롯데정보통신 ,2276
603,280360,롯데제과,031007,기타 식품 제조업,"6,416,717","3,208,358,500","500",원(KRW),02-2670-6302,서울특별시 영등포구 양평로21길 10 ,2276
604,004990,롯데지주,116409,기타 금융업,"104,909,237","21,179,372,000","200",원(KRW),02-750-7114,서울특별시 송파구 올림픽로 300 롯데월드타워,2276
605,005300,롯데칠성음료,031102,비알코올음료 및 얼음 제조업,"7,993,460","4,384,385,000","500",원(KRW),02-3479-9114,서울특별시 서초구 서초대로70길 15 ,2276
606,011170,롯데케미칼,032001,기초 화학물질 제조업,"34,275,419","171,377,095,000","5,000",원(KRW),02-829-4114,"300, Olympic-ro, Songpa-gu, Seoul, Korea Lotte World Tower ",2276
607,002270,롯데푸드,031005,낙농제품 및 식용빙과류 제조업,"1,131,870","5,659,350,000","5,000",원(KRW),02-3469-3114,서울특별시 영등포구 양평로19길 19 -,2276
608,071840,롯데하이마트,074703,가전제품 및 정보통신장비 소매업,"23,607,712","118,038,560,000","5,000",원(KRW),02-1588-0070,서울특별시 강남구  삼성로 156  롯데하이마트빌딩,2276
609,038060,루멘스,032601,반도체 제조업,"47,276,784","23,638,392,000","500",원(KRW),031-8033-2000,경기도 용인시 기흥구 원고매로 12 ,2276
610,082800,루미마이크로,032601,반도체 제조업,"74,460,326","37,230,163,000","500",원(KRW),031-213-9200,경기도 용인시 처인구 남사면 봉무로 309 ,2276
611,162120,루켄테크놀러지스,032809,기타 전기장비 제조업,"1,640,208","820,104,000","500",원(KRW),070-8633-8009,경기도 이천시 마장면 중부대로2670번길 94 ,2276
612,085370,루트로닉,032701,의료용 기기 제조업,"25,350,252","13,133,978,500","500",원(KRW),031-926-7114,경기도 고양시 덕양구 소원로 219 ,2276
613,060240,룽투코리아,105802,소프트웨어 개발 및 공급업,"24,176,133","12,438,066,500","500",원(KRW),02-2640-3530,"서울특별시 금천구 디지털로9길 68 대륭포스트타워 5차, 9층",2276
614,058470,리노공업,032602,전자부품 제조업,"15,242,370","7,621,185,000","500",원(KRW),051-831-3232,부산광역시 강서구 미음산단로105번길 10 ,2276
615,039980,리노스,074704,"섬유, 의복, 신발 및 가죽제품 소매업","39,601,703","19,800,851,500","500",원(KRW),(02)3489-6800,서울특별시 서초구  효령로 317 대한건축사협회  5~6층,2276
616,016100,리더스코스메틱,032004,기타 화학제품 제조업,"18,187,414","9,093,707,000","500",원(KRW),02-3453-8768,서울특별시 광진구 능동로 90 더클래식 500 씨 404호 ,2276
617,197210,리드,032902,특수 목적용 기계 제조업,"14,786,964","7,393,482,000","500",원(KRW),031-8017-3201,경기도 화성시  향남읍 발안공단로4길 118 &nbsp,2276
618,012700,리드코프,074607,기타 전문 도매업,"26,749,230","13,777,741,000","500",원(KRW),02  -2126-5000,서울특별시 영등포구  은행로 25 안원빌딩 6층 ,2276
619,302550,리메드,032701,의료용 기기 제조업,"5,166,341","2,583,170,500","500",원(KRW),042-934-5560,"대전광역시 유성구 테크노2로 187 (용산동, 미건테크노월드2 301호) ",2276
620,131100,리켐,032001,기초 화학물질 제조업,"22,769,825","2,276,982,500","100",원(KRW),042-825-8630,충청남도 금산군 추부면 금산로 2423-16 리켐(주)- ,2276
621,277070,린드먼아시아,116402,신탁업 및 집합투자업,"13,500,000","6,750,000,000","500",원(KRW),070-7019-4006,"서울특별시 강남구 테헤란로 234, 4층(역삼동, 삼익빌딩) &nbsp",2276
622,042500,링네트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","14,936,878","7,468,439,000","500",원(KRW),02-6675-1251,"서울특별시 구로구 디지털로33길 27 409호 (구로동, 삼성IT밸리 4층) ",2276
623,219420,링크제니시스,105802,소프트웨어 개발 및 공급업,"10,000,000","1,000,000,000","100",원(KRW),031-422-3581,"경기도 안양시 동안구 시민대로 401, 319호(관양동, 대륭테크노타운15차) &nbsp",2276
624,027740,마니커,031001,"도축, 육류 가공 및 저장 처리업","158,472,594","79,236,297,000","500",원(KRW),031-281-5300,경기도 용인시 기흥구  용구대로2219번길 3 (신갈동) ,2276
625,098120,마이크로컨텍솔,032602,전자부품 제조업,"8,312,766","4,156,383,000","500",원(KRW),041-621-4331,충청남도 천안시 서북구 성거읍 오송2길 15-21 ,2276
626,227950,마이크로텍,032902,특수 목적용 기계 제조업,"19,000,928","1,900,092,800","100",원(KRW),02-3779-3129,경기도 안성시 원곡면 원당로 157 -,2276
627,147760,마이크로프랜드,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","10,819,866","5,409,933,000","500",원(KRW),02-944-6400,"서울특별시 노원구 공릉로 232, 10층(공릉동, 서울테크노파크) ",2276
628,035480,마제스타,189102,유원지 및 기타 오락관련 서비스업,"45,529,070","22,764,535,000","500",원(KRW),064-730-1100,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),2276
629,038290,마크로젠,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,605,454","5,302,727,000","500",원(KRW),02-2113-7000,서울특별시 금천구  벚꽃로 254 월드메르디앙1차 ,2276
630,204320,만도,033003,자동차 신품 부품 제조업,"46,957,120","46,957,120,000","1,000",원(KRW),031-680-6114,경기도 평택시 포승읍 하만호길 32 ,2276
631,001080,만호제강,032401,1차 철강 제조업,"4,150,000","4,150,000,000","1,000",원(KRW),051-601-0351,부산광역시 강서구  녹산화전로 71 ,2276
632,267980,매일유업,031005,낙농제품 및 식용빙과류 제조업,"7,843,638","3,921,819,000","500",원(KRW),02-2117-2113,서울특별시 종로구 종로1길 50 &nbsp,2276
633,005990,매일홀딩스,031005,낙농제품 및 식용빙과류 제조업,"13,718,304","6,859,152,000","500",원(KRW),02-2127-2113,서울시 종로구 종로1길 50 더케이트윈타워A동 ,2276
634,127160,매직마이크로,032602,전자부품 제조업,"58,822,777","5,882,277,700","100",원(KRW),070-8680-3792,경기도 안산시 단원구 신원로133번길 15 . ,2276
635,093520,매커스,074605,기계장비 및 관련 물품 도매업,"16,163,092","8,081,546,000","500",원(KRW),02-3490-9500,서울특별시 강남구 봉은사로44길 73 ,2276
636,141070,맥스로텍,032902,특수 목적용 기계 제조업,"24,866,457","12,433,228,500","500",원(KRW),053-584-6540,대구광역시 달서구 성서로71길 40 - ,2276
637,088980,맥쿼리인프라,116402,신탁업 및 집합투자업,"349,044,336","1,815,614,802,841","0",원(KRW),02-3705-8565,"서울특별시 중구 소공로 109 소공동, 한화빌딩 9층",2276
638,094800,맵스리얼티1,116402,신탁업 및 집합투자업,"92,834,331","464,171,655,000","0",원(KRW),02-1577-1640,서울 영등포구 여의도동 미래에셋빌딩 45-1,2276
639,100590,머큐리,032604,통신 및 방송 장비 제조업,"14,763,600","7,381,800,000","500",원(KRW),032-580-3114,인천광역시 서구 가재울로 90 ,2276
640,067280,멀티캠퍼스,168506,기타 교육기관,"5,926,779","2,963,389,500","500",원(KRW),02-6262-9114,서울특별시 강남구 언주로 508 서울상록회관 17층,2276
641,072870,메가스터디,105801,"서적, 잡지 및 기타 인쇄물 출판업","11,920,959","5,960,479,500","500",원(KRW),02-6350-8400,"서울특별시 마포구 상암산로 3415층(상암동, 디지털큐브) ",2276
642,215200,메가스터디교육,168505,일반 교습 학원,"11,821,880","1,182,188,000","100",원(KRW),02-3489-8200,서울특별시 서초구 효령로 321 덕원빌딩 &nbsp,2276
643,133750,메가엠디,168505,일반 교습 학원,"22,368,593","11,184,296,500","500",원(KRW),02-3489-8346,서울특별시 서초구 효령로 321 ,2276
644,200580,메디쎄이,032701,의료용 기기 제조업,"3,478,159","1,739,079,500","500",원(KRW),031-879-0414,충청북도 제천시 한방엑스포로 129 (제천시 왕암동 1389),2276
645,041920,메디아나,032701,의료용 기기 제조업,"8,650,496","4,325,248,000","500",원(KRW),033-742-5400,강원도 원주시 문막읍 동화공단로 132 ,2276
646,233250,메디안디노스틱,032103,의료용품 및 기타 의약 관련제품 제조업,"1,746,534","1,083,767,000","500",원(KRW),033-244-0100,강원도 춘천시 동내면 순환대로 878 ,2276
647,236340,메디젠휴먼케어,137001,자연과학 및 공학 연구개발업,"2,304,892","1,152,446,000","500",원(KRW),02-555-9808,서울특별시 강남구 테헤란로 223 큰길타워빌딩 20층,2276
648,086900,메디톡스,032101,기초 의약물질 및 생물학적 제제 제조업,"5,815,090","2,907,545,000","500",원(KRW),043-217-1555,충청북도 청원군  오창읍 각리1길 78 (주)메디톡스,2276
649,015540,메디파트너생명공학,147509,기타 사업지원 서비스업,"5,512,821","2,756,410,500","500",원(KRW),02-3404-3222,서울특별시 강남구 봉은사로 218 5층(역삼동 메디파트너빌딩) ,2276
650,078160,메디포스트,032101,기초 의약물질 및 생물학적 제제 제조업,"15,617,842","7,808,921,000","500",원(KRW),02-3465-6677,경기도 성남시 분당구 대왕판교로 644번길21 -,2276
651,065650,메디프론,074605,기계장비 및 관련 물품 도매업,"29,439,113","14,719,556,500","500",원(KRW),02-545-9277,"서울특별시 강서구  양천로 583 1401(염창동, 우림블루나인비즈니스센터에이동)",2276
652,138040,메리츠금융지주,116409,기타 금융업,"140,224,314","71,442,909,000","500",원(KRW),02-2018-6824,서울특별시 강남구  강남대로 382 ,2276
653,008560,메리츠종금증권,116601,금융 지원 서비스업,"611,998,455","611,998,455,000","1,000",원(KRW),02-785-6611,"서울특별시 영등포구 국제금융로 10 Three IFC, 메리츠종금증권",2276
654,000060,메리츠화재,116501,보험업,"113,680,000","56,840,000,000","500",원(KRW),02-1566-7711,서울특별시 강남구  강남대로 382 메리츠타워,2276
655,021880,메이슨캐피탈,116409,기타 금융업,"99,184,408","49,592,204,000","500",원(KRW),02-3440-1600,전라북도 전주시 완산구 기린대로 213 대우빌딩 14층 12호 ,2276
656,140410,메지온,137001,자연과학 및 공학 연구개발업,"8,654,452","4,327,226,000","500",원(KRW),02-560-8000,서울특별시 강남구  테헤란로87길 35 씨엔드에치빌딩 3층,2276
657,241770,메카로,032004,기타 화학제품 제조업,"10,069,440","5,284,720,000","500",원(KRW),031-646-4400,경기도 평택시 산단로 103-14 ,2276
658,090370,메타랩스,031401,봉제의복 제조업,"48,563,168","24,281,584,000","500",원(KRW),02-2189-7700,서울특별시 강남구 언주로 428(역삼동) ,2276
659,059210,메타바이오메드,032103,의료용품 및 기타 의약 관련제품 제조업,"23,862,351","11,931,175,500","500",원(KRW),043-218-1981,충청북도 청주시 흥덕구  오송읍 오송생명1로 270 ,2276
660,058110,멕아이씨에스,032701,의료용 기기 제조업,"5,361,500","2,680,750,000","500",원(KRW),070) 7119-2520,경기도 파주시 상지석길 21 ,2276
661,096640,멜파스,032602,전자부품 제조업,"22,135,743","11,067,871,500","500",원(KRW),031-707-2280,경기도 성남시 분당구 판교역로 225-14 ,2276
662,017180,명문제약,032102,의약품 제조업,"24,540,000","12,270,000,000","500",원(KRW),031-350-4000,경기도 화성시  향남읍 제약공단2길 26 ,2276
663,257370,명성티엔에스,032902,특수 목적용 기계 제조업,"6,370,000","3,185,000,000","500",원(KRW),053-582-3577,대구광역시 달서구 성서공단로25길 16 &nbsp,2276
664,267060,명진홀딩스,031002,수산물 가공 및 저장 처리업,"7,175,592","3,587,796,000","500",원(KRW),070-7561-9468,서울특별시 서초구 서초중앙로 41대성빌딩 9층 ,2276
665,012690,모나리자,031709,기타 종이 및 판지 제품 제조업,"36,571,255","18,885,627,500","500",원(KRW),02-829-8800,서울특별시 동작구  보라매로5길 15 전문건설회관빌딩 21층 (주)모나리자,2276
666,005360,모나미,074604,생활용품 도매업,"18,897,307","18,897,307,000","1,000",원(KRW),031-216-0153,"경기도 용인시 수지구  손곡로 17 (동천동, 모나미빌딩)",2276
667,149940,모다,032604,통신 및 방송 장비 제조업,"21,160,409","10,580,204,500","500",원(KRW),02-523-7677,서울특별시 강남구 삼성로 570 석천빌딩 6층 ,2276
668,080420,모다이노칩,074704,"섬유, 의복, 신발 및 가죽제품 소매업","79,721,622","39,860,811,000","500",원(KRW),031-315-7250,경기도 안산시 단원구  동산로27번길 42-7 이노칩테크놀러지(주) ,2276
669,080160,모두투어,147502,여행사 및 기타 여행보조 서비스업,"18,900,000","9,450,000,000","500",원(KRW),02-728-8000,서울특별시 중구  을지로 16 프레지던트호텔 5층 모두투어네트워크,2276
670,204210,모두투어리츠,126801,부동산 임대 및 공급업,"7,826,815","39,134,075,000","5,000",원(KRW),02-6253-5911,"서울특별시 중구 퇴계로 173 12층(충무로3가, 남산스퀘어)",2276
671,100030,모바일리더,105802,소프트웨어 개발 및 공급업,"3,283,714","1,641,857,000","500",원(KRW),02-2051-4151,"서울특별시 강남구 강남대로 330(역삼동, 우덕빌딩 5층) ",2276
672,087260,모바일어플라이언스,105802,소프트웨어 개발 및 공급업,"15,000,000","7,500,000,000","500",원(KRW),031-421-8071,경기도 안양시 동안구 시민대로 401 ,2276
673,101330,모베이스,032604,통신 및 방송 장비 제조업,"23,958,188","11,979,094,000","500",원(KRW),032-529-4200,경기도 화성시 동탄첨단산업1로 73 (영천동) ,2276
674,250060,모비스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","32,171,314","3,217,131,400","100",원(KRW),02-3771-3423,경기도 성남시 분당구 판교로 253 이노밸리C동 2층 203호,2276
675,033200,모아텍,032602,전자부품 제조업,"14,331,185","7,665,592,500","500",원(KRW),032-810-9000,인천광역시 남동구  인주대로 698 (주)모아텍 ,2276
676,009680,모토닉,033003,자동차 신품 부품 제조업,"33,000,000","16,500,000,000","500",원(KRW),053-589-6262,"서울특별시 중구 청계천로 100 동관 9층(수표동, 시그니쳐타워)",2276
677,118990,모트렉스,033003,자동차 신품 부품 제조업,"27,250,545","2,725,054,500","100",원(KRW),070-4862-6100,경기도 성남시 분당구 황새울로258번길 25 서영빌딩 12층 ,2276
678,006920,모헨즈,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","10,920,000","5,460,000,000","500",원(KRW),02  -571 -3011,충남 충남시 풍세면 남관리 195 ,2276
679,009580,무림P&P,031701,"펄프, 종이 및 판지 제조업","62,368,324","155,920,810,000","2,500",원(KRW),052-231-7000,울산광역시 울주군  온산읍 우봉길 3-36 ,2276
680,001810,무림SP,031701,"펄프, 종이 및 판지 제조업","22,137,500","11,068,750,000","500",원(KRW),02  -3485-1603,서울특별시 강남구  강남대로 656 (신사동) ,2276
681,009200,무림페이퍼,031701,"펄프, 종이 및 판지 제조업","41,609,310","104,023,275,000","2,500",원(KRW),055-751-1234,경상남도 진주시  남강로 1003 (상평동),2276
682,033920,무학,031101,알코올음료 제조업,"28,500,000","5,700,000,000","200",원(KRW),1588-2226,경상남도 창원시 마산회원구  봉암공단2길 6 ,2276
683,008420,문배철강,032401,1차 철강 제조업,"20,503,505","10,251,752,500","500",원(KRW),02-758-6640,서울특별시 동작구 동작대로 35 - ,2276
684,279600,미디어젠,105802,소프트웨어 개발 및 공급업,"3,680,381","1,840,190,500","500",원(KRW),02-6429-7100,"경기도 성남시 분당구 성남대로925번길 41, 4층(야탑동, 파인벤처빌딩) ",2276
685,028040,미래SCI,032309,기타 비금속 광물제품 제조업,"33,397,545","16,698,772,500","500",원(KRW),043-710-0112,충북 청원군 옥산면 남촌리 1108-3 ,2276
686,095500,미래나노텍,032202,플라스틱제품 제조업,"23,289,533","11,644,766,500","500",원(KRW),043-710-1100,충청북도 청원군  옥산면 과학산업1로 16 미래나노텍(주),2276
687,025560,미래산업,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","634,818,400","63,481,840,000","100",원(KRW),041-621-5070,충청남도 천안시 서북구 백석공단7로 65 (백석동),2276
688,218150,미래생명자원,031008,동물용 사료 및 조제식품 제조업,"18,671,428","1,867,142,800","100",원(KRW),02-2203-7397,"서울특별시 송파구 법원로9길 26 D동 506 ~ 512호(문정동, H business PARK)",2276
689,007120,미래아이앤지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","129,484,148","12,948,414,800","100",원(KRW),02-3470-4400,서울특별시 강남구 도산대로 514 청담동,2276
690,006800,미래에셋대우,116601,금융 지원 서비스업,"658,316,408","4,101,960,790,000","5,000",원(KRW),02-768-3355,서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워,2276
691,265480,미래에셋대우스팩1호,116601,금융 지원 서비스업,"4,840,000","484,000,000","100",원(KRW),02-3774-7171,서울특별시 중구 을지로5길 26 미래에셋센터원빌딩 동관 &nbsp,2276
692,310200,미래에셋대우스팩2호,116601,금융 지원 서비스업,"3,050,000","305,000,000","100",원(KRW),02-3774-7117,서울특별시 중구 을지로5길 26 미래에셋센터원 &nbsp,2276
693,100790,미래에셋벤처투자,116409,기타 금융업,"30,667,215","31,167,215,000","1,000",원(KRW),070-4800-2104,경기도 성남시 분당구 판교역로241번길 20 ,2276
694,085620,미래에셋생명,116501,보험업,"177,016,189","885,080,945,000","5,000",원(KRW),02-1588-0220,서울특별시 영등포구 국제금융로 56 미래에셋대우빌딩 ,2276
695,239340,미래에셋제5호스팩,116601,금융 지원 서비스업,"4,800,000","480,000,000","100",원(KRW),02-3774-1736,서울특별시 서초구 반포대로 3 7층 줌인터넷(주),2276
696,049950,미래컴퍼니,032902,특수 목적용 기계 제조업,"8,144,232","4,072,116,000","500",원(KRW),(031)350-9801,경기도 화성시  양감면 정문송산로 69-12 ,2276
697,213090,미래테크놀로지,105802,소프트웨어 개발 및 공급업,"6,120,788","3,060,394,000","500",원(KRW),070-8890-1537,서울특별시 구로구 디지털로26길 123 지플러스코오롱디지털타워 907호,2276
698,207760,미스터블루,106309,기타 정보 서비스업,"24,505,004","2,450,500,400","100",원(KRW),02-337-0610,"서울특별시 마포구 월드컵북로6길 18 (동교동, 미스터블루빌딩)",2276
699,225850,미애부,074604,생활용품 도매업,"3,332,333","1,666,166,500","500",원(KRW),1577-1401,"경기도 성남시 중원구 갈마치로 215, 금강펜테리움IT타워 에이동-808 (상대원동) ",2276
700,002840,미원상사,032004,기타 화학제품 제조업,"5,034,823","29,291,895,000","5,000",원(KRW),031-472-9120,경기도 안산시 단원구  원시로 49 (목내동) ,2276
701,268280,미원에스씨,032001,기초 화학물질 제조업,"5,221,276","2,610,638,000","500",원(KRW),063-260-1500,전라북도 완주군 봉동읍 완주산단1로 167 ,2276
702,107590,미원홀딩스,116409,기타 금융업,"2,331,774","1,315,887,000","500",원(KRW),031-479-9313,경기도 용인시 수지구 포은대로59번길 20 -,2276
703,134380,미원화학,032004,기타 화학제품 제조업,"2,189,904","2,394,716,000","1,000",원(KRW),031-479-9200,울산광역시 남구  장생포로 247 ,2276
704,003650,미창석유공업,031902,석유 정제품 제조업,"1,739,672","8,698,360,000","5,000",원(KRW),051-403-6441,부산광역시 영도구 해양로 241 미창석유 ,2276
705,059090,미코,032601,반도체 제조업,"31,316,603","15,658,301,500","500",원(KRW),031-670-5800,경기도 안성시 공단로 100 ,2276
706,214610,미코바이오메드,032701,의료용 기기 제조업,"11,479,947","5,739,973,500","500",원(KRW),070-5227-6000,"경기도 성남시 수정구 창업로 54 가동 3층, 4층(시흥동, LH기업성장센터)",2276
707,201490,미투온,105802,소프트웨어 개발 및 공급업,"31,257,770","15,628,885,000","500",원(KRW),02-515-2864,서울특별시 강남구 학동로 343 더피나클강남 6층 ,2276
708,214180,민앤지,106309,기타 정보 서비스업,"11,886,628","5,943,314,000","500",원(KRW),02-929-4463,서울특별시 강남구 테헤란로34길 6 태광타워 13층 ,2276
709,155900,바다로19호,147601,운송장비 임대업,"15,200,004","76,000,020,000","5,000",원(KRW),02-3210-3333,"제주특별자치도 제주시 연삼로 473 (이도이동,산업경제진흥원) ",2276
710,206640,바디텍메드,032103,의료용품 및 기타 의약 관련제품 제조업,"23,468,542","23,468,542,000","1,000",원(KRW),02-2004-4938,강원도 춘천시 동내면 거두단지1길 43 -,2276
711,018700,바른손,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","16,417,365","16,417,365,000","1,000",원(KRW),02  -596-4411,"경기도 성남시 분당구 판교로 253 201호(삼평동, 이노밸리A동) ",2276
712,035620,바른손이앤에이,105802,소프트웨어 개발 및 공급업,"70,392,278","35,196,139,000","500",원(KRW),070-7609-1404,서울특별시 강남구 봉은사로 509 수당빌딩 4층,2276
713,064520,바른전자,032601,반도체 제조업,"66,419,511","33,209,755,500","500",원(KRW),031-8020-6000,경기도 화성시  동탄면 경기동로 548 ,2276
714,029480,바른테크놀로지,032604,통신 및 방송 장비 제조업,"33,935,285","16,967,642,500","500",원(KRW),02  -3459-0620,"서울특별시 강남구 강남대로 262 18층(도곡동, 캠코양재타워) ",2276
715,053030,바이넥스,032102,의약품 제조업,"31,741,048","15,870,524,000","500",원(KRW),(051)261-6611,부산광역시 사하구 다대로 368-3 ,2276
716,064550,바이오니아,032103,의료용품 및 기타 의약 관련제품 제조업,"22,097,449","11,048,724,500","500",원(KRW),042-936-8500,대전광역시 대덕구  문평서로 8-11 (주)바이오니아 ,2276
717,208710,바이오로그디바이스,032602,전자부품 제조업,"27,798,596","2,779,859,600","100",원(KRW),031-831-3696,경기도 화성시 동탄면 동탄기흥로 64-10 3층,2276
718,142760,바이오리더스,137001,자연과학 및 공학 연구개발업,"17,682,985","8,841,492,500","500",원(KRW),042-934-7671,"경기도 용인시 수지구 신수로 767 7층 (동천동, 분당수지유타워 지식산업센터) ",2276
719,065940,바이오빌,032001,기초 화학물질 제조업,"43,987,186","21,993,593,000","500",원(KRW),(055)385-1500,경상남도 양산시 두전길 94 ,2276
720,086820,바이오솔루션,032101,기초 의약물질 및 생물학적 제제 제조업,"7,982,376","3,991,188,000","500",원(KRW),02-3446-8884,"서울특별시 노원구 공릉로 232 8층 803호(공릉동, 서울테크노파크)",2276
721,038460,바이오스마트,032602,전자부품 제조업,"19,978,940","9,989,470,000","500",원(KRW),02-3218-9000,서울특별시 성동구 광나루로 172- ,2276
722,281310,바이오시네틱스,137001,자연과학 및 공학 연구개발업,"2,611,190","1,305,595,000","500",원(KRW),02-2113-1285,"서울특별시 금천구 가산디지털2로 184, 708호(가산동, 벽산디지털밸리 2차) ",2276
723,044480,바이오제네틱스,032201,고무제품 제조업,"11,559,645","5,779,822,500","500",원(KRW),02-2203-3835,충청북도 증평군  증평읍 광장로 473-3 (주)유니더스,2276
724,216400,바이오코아,137001,자연과학 및 공학 연구개발업,"6,905,676","3,452,838,000","500",원(KRW),02-2027-6200,서울특별시 금천구 디지털로9길 33 ,2276
725,086040,바이오톡스텍,137001,자연과학 및 공학 연구개발업,"14,564,623","7,282,311,500","500",원(KRW),043-210-7777,충청북도 청주시 청원구 오창읍 연구단지로 53 ,2276
726,199290,바이오프로테크,032701,의료용 기기 제조업,"3,205,690","1,602,845,000","500",원(KRW),033-735-7720,강원도 원주시 문막읍 동화공단로 151-3(동화첨단의료기기산업단지) ,2276
727,032980,바이온,074603,음·식료품 및 담배 도매업,"47,604,597","23,802,298,500","500",원(KRW),02-516-0720,충청북도 청원군  북이면 신대석성로 144 ,2276
728,222160,바이옵트로,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","5,530,184","2,765,092,000","500",원(KRW),031-8005-5155,경기도 용인시 기흥구 탑실로58번길 14 ,2276
729,043150,바텍,032701,의료용 기기 제조업,"14,854,256","7,427,128,000","500",원(KRW),031-679-2000,경기도 화성시  삼성1로2길 13(석우동) ,2276
730,003610,방림,031302,직물직조 및 직물제품 제조업,"42,314,090","21,157,045,000","500",원(KRW),02-2085-2114,서울특별시 마포구  월드컵북로 402 케이지아이티센터 18층,2276
731,267790,배럴,031401,봉제의복 제조업,"7,761,300","3,880,650,000","500",원(KRW),02-335-3176,"서울특별시 강남구 논현로 709, 4층(논현동, 로얄빌딩) ",2276
732,001340,백광산업,032001,기초 화학물질 제조업,"44,918,407","22,459,203,500","500",원(KRW),02-2681-0136,전라북도 군산시  임해로 494-16 ,2276
733,014580,백광소재,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","27,583,100","13,791,550,000","500",원(KRW),02-3661-8018,서울특별시 강서구  공항대로 467 (등촌동) ,2276
734,046310,백금T&A,032604,통신 및 방송 장비 제조업,"15,407,187","7,703,593,500","500",원(KRW),031-488-7900,"경기도 군포시 엘에스로 153-18(산본동) L&C타워 4,5,6층 ",2276
735,035150,백산,032202,플라스틱제품 제조업,"24,200,000","14,000,000,000","500",원(KRW),031-499-0044-9,경기도 시흥시 공단1대로27번길 47 ,2276
736,036620,버추얼텍,074607,기타 전문 도매업,"39,456,342","19,728,171,000","500",원(KRW),02  -333 -3012,"서울특별시 서초구 방배로 162 서울시 서초구 방배로 162, 4층(예광빌딩) ",2276
737,066410,버킷스튜디오,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","23,447,181","11,723,590,500","500",원(KRW),(02)3452-5079,서울특별시 강남구 언주로135길 21 - ,2276
738,002410,범양건영,064101,건물 건설업,"24,831,812","24,831,812,000","1,000",원(KRW),041-573-5631,"충청남도 천안시 서북구 검은들1길 7 4층(불당동,포인트프라자)",2276
